user_id,transaction_date,region,product_category,sale_amount,city,age,subscription,status,raw_timestamp,email,username,price,store_id
U1363,2024-06-16,West,Furniture,365.23,Bangalore,25,Premium,Pending,16/06/2024,u1363@mail.com,user_363,2914.57,ST10
U1133,2024-01-19,South,Toys,2306.74,Bangalore,41,Premium,Inactive,2024-01-19 00:00:00,u1133@mail.com,user_133,2819.9,ST3
U1470,2024-02-11,West,Grocery,1869.7,Chennai,45,Basic,Active,2024-02-11T00:00:00,u1470@mail.com,user_470,,ST4
U1054,2024-04-16,East,Toys,1963.85,Pune,24,Basic,Pending,2024-04-16 00:00:00,u1054@mail.com,user_54,662.97,ST4
U1267,2024-06-20,South,Clothing,4752.29,Kolkata,17,Premium,Pending,20/06/2024,u1267@mail.com,user_267,197.74,ST3
U1132,2024-03-14,West,Electronics,2211.55,Pune,38,Basic,,2024-03-14T00:00:00,,,1119.45,ST5
U1452,2024-02-14,West,Toys,3575.75,Mumbai,25,Premium,Active,2024-02-14,u1452@mail.com,user_452,2123.39,ST4
U1531,2024-01-27,South,Furniture,4258.22,Chennai,34,Basic,Active,2024-01-27,u1531@mail.com,user_531,2809.08,ST8
U1412,2024-06-20,East,Clothing,156.85,Chennai,19,Basic,,20/06/2024,,user_412,1395.28,ST10
U1124,2024-05-27,West,Clothing,4864.66,Chennai,29,Basic,Pending,27/05/2024,u1124@mail.com,user_124,586.79,ST3
U1360,2024-02-26,East,Grocery,206.34,Kolkata,37,Basic,Inactive,2024-02-26 00:00:00,,user_360,1132.89,ST10
U1098,2024-02-15,South,Furniture,3796.78,Chennai,29,Basic,Pending,15/02/2024,u1098@mail.com,user_98,2399.17,ST10
U1492,2024-02-24,North,Grocery,332.9,Ahmedabad,27,Premium,Active,2024-02-24 00:00:00,u1492@mail.com,user_492,1616.64,ST7
U1543,2024-03-29,West,Grocery,4511.02,Bangalore,19,Basic,,29/03/2024,u1543@mail.com,user_543,1354.32,ST6
U1284,2024-02-27,South,Clothing,2603.52,Kolkata,37,Basic,Active,2024-02-27,u1284@mail.com,user_284,972.33,ST9
U1431,2024-01-21,South,Grocery,3274.18,Mumbai,16,Basic,Inactive,2024-01-21T00:00:00,u1431@mail.com,user_431,1109.82,ST2
U1176,2024-04-08,West,Grocery,2127.67,Kolkata,38,Premium,Inactive,2024-04-08,u1176@mail.com,user_176,480.51,ST3
U1542,2024-06-18,East,Toys,383.27,Bangalore,37,Basic,,2024-06-18,u1542@mail.com,user_542,2178.58,ST6
U1403,2024-04-29,East,Electronics,4082.97,Hyderabad,29,Premium,,2024-04-29T00:00:00,u1403@mail.com,user_403,733.5,ST4
U1307,2024-04-22,East,Clothing,477.73,Chennai,21,Premium,Inactive,22/04/2024,u1307@mail.com,user_307,729.52,ST6
U1340,2024-02-04,North,Grocery,2399.07,Mumbai,44,Basic,,2024-02-04T00:00:00,,user_340,732.09,ST1
U1108,2024-04-25,North,Electronics,2132.99,Delhi,26,Premium,,2024-04-25 00:00:00,u1108@mail.com,,2525.57,ST6
U1038,2024-06-29,East,Electronics,2132.85,Delhi,29,Basic,Active,29/06/2024,u1038@mail.com,user_38,2840.88,ST1
U1143,2024-05-02,East,Grocery,1673.72,Chennai,44,Premium,Inactive,2024-05-02 00:00:00,u1143@mail.com,user_143,568.58,ST1
U1356,2024-03-18,West,Clothing,4806.88,Mumbai,38,Premium,,18/03/2024,u1356@mail.com,user_356,2845.13,ST9
U1081,2024-01-26,North,Toys,4518.31,Chennai,16,Basic,Pending,26/01/2024,u1081@mail.com,user_81,320.44,ST4
U1277,2024-05-20,North,Electronics,324.31,Mumbai,19,Basic,Active,2024-05-20T00:00:00,u1277@mail.com,user_277,1209.04,ST8
U1110,2024-02-08,South,Electronics,3903.25,Mumbai,18,Premium,Inactive,2024-02-08,u1110@mail.com,user_110,,ST8
U1571,2024-04-20,South,Grocery,696.42,Bangalore,30,Basic,Active,20/04/2024,,user_571,982.91,ST7
U1339,2024-04-21,North,Grocery,2460.09,Mumbai,17,Basic,Pending,2024-04-21T00:00:00,u1339@mail.com,user_339,,ST9
U1011,2024-03-02,West,Clothing,4402.25,Hyderabad,17,Basic,Active,02/03/2024,u1011@mail.com,user_11,831.92,ST10
U1186,2024-02-17,South,Furniture,243.04,Bangalore,21,Basic,,2024-02-17,,user_186,2126.09,ST2
U1032,2024-06-06,North,Furniture,2784.89,Mumbai,24,Premium,,2024-06-06T00:00:00,u1032@mail.com,user_32,1445.9,ST3
U1112,2024-01-18,West,Furniture,4379.32,Mumbai,27,Basic,Pending,2024-01-18 00:00:00,u1112@mail.com,,1988.46,ST2
U1537,2024-03-31,West,Toys,1410.71,Mumbai,37,Premium,Active,2024-03-31,u1537@mail.com,user_537,2925.25,ST10
U1046,2024-04-21,East,Toys,4830.82,Delhi,40,Basic,,2024-04-21,u1046@mail.com,user_46,774.21,ST2
U1059,2024-06-21,North,Toys,297.14,Chennai,30,Basic,Pending,21/06/2024,u1059@mail.com,user_59,2908.71,ST8
U1171,2024-02-15,North,Electronics,4811.2,Bangalore,39,Basic,Active,2024-02-15T00:00:00,u1171@mail.com,user_171,1198.01,ST9
U1488,2024-03-23,West,Electronics,2993.27,Mumbai,26,Basic,Active,2024-03-23T00:00:00,u1488@mail.com,user_488,1265.19,ST1
U1288,2024-05-14,East,Clothing,2650.97,Kolkata,20,Basic,,2024-05-14 00:00:00,u1288@mail.com,user_288,1026.65,ST5
U1378,2024-05-05,South,Clothing,902.55,Mumbai,28,Premium,Pending,2024-05-05,u1378@mail.com,user_378,653.46,ST3
U1049,2024-04-24,West,Electronics,1541.75,Delhi,22,Basic,Pending,2024-04-24,u1049@mail.com,user_49,1673.65,ST6
U1507,2024-01-22,South,Grocery,991.26,Pune,45,Premium,Active,2024-01-22 00:00:00,u1507@mail.com,user_507,2725.19,ST8
U1343,2024-06-28,South,Clothing,1671.15,Mumbai,32,Premium,Inactive,2024-06-28 00:00:00,u1343@mail.com,user_343,74.2,ST2
U1355,2024-06-16,South,Electronics,2393.49,Chennai,26,Basic,Pending,2024-06-16 00:00:00,u1355@mail.com,user_355,,ST2
U1574,2024-05-13,East,Electronics,3901.17,Bangalore,39,Premium,,2024-05-13 00:00:00,,,,ST6
U1361,2024-03-04,East,Grocery,4074.26,Mumbai,27,Premium,Active,2024-03-04T00:00:00,u1361@mail.com,user_361,2084.31,ST10
U1103,2024-02-03,West,Grocery,2838.72,Chennai,25,Premium,Active,2024-02-03,u1103@mail.com,,2855.95,ST6
U1518,2024-01-20,East,Furniture,3416.85,Pune,15,Basic,Active,2024-01-20,u1518@mail.com,user_518,1004.44,ST1
U1499,2024-03-01,West,Toys,3698.95,Hyderabad,31,Basic,,2024-03-01 00:00:00,u1499@mail.com,user_499,1021.39,ST10
U1225,2024-02-21,East,Toys,3994.75,Ahmedabad,40,Basic,,2024-02-21,u1225@mail.com,user_225,847.79,ST1
U1265,2024-06-28,East,Furniture,4170.2,Mumbai,38,Premium,Pending,2024-06-28 00:00:00,u1265@mail.com,user_265,2344.98,ST9
U1240,2024-06-27,West,Electronics,3373.89,Kolkata,28,Premium,Active,2024-06-27,u1240@mail.com,user_240,2607.34,ST8
U1440,2024-01-25,North,Toys,2586.95,Delhi,35,Premium,Pending,2024-01-25 00:00:00,u1440@mail.com,user_440,2907.29,ST8
U1318,2024-04-21,West,Electronics,1389.15,Delhi,34,Premium,,2024-04-21,u1318@mail.com,user_318,1812.54,ST3
U1358,2024-05-16,South,Grocery,4522.18,Bangalore,25,Basic,,2024-05-16,u1358@mail.com,user_358,1659.6,ST7
U1125,2024-04-20,West,Electronics,2638.7,Delhi,20,Basic,Inactive,2024-04-20T00:00:00,u1125@mail.com,user_125,282.64,ST4
U1131,2024-05-07,West,Electronics,4731.64,Bangalore,45,Premium,Inactive,2024-05-07T00:00:00,,user_131,2536.41,ST8
U1324,2024-05-17,West,Grocery,1316.46,Mumbai,36,Basic,Active,17/05/2024,u1324@mail.com,user_324,843.77,ST4
U1572,2024-02-19,North,Electronics,4412.48,Kolkata,38,Premium,,2024-02-19 00:00:00,u1572@mail.com,user_572,235.39,ST2
U1273,2024-06-05,West,Electronics,3252.65,Mumbai,42,Basic,,05/06/2024,,user_273,2911.93,ST1
U1470,2024-02-11,West,Grocery,1869.7,Chennai,45,Basic,Active,2024-02-11T00:00:00,u1470@mail.com,user_470,,ST4
U1117,2024-01-21,North,Grocery,1601.83,Bangalore,28,Premium,,2024-01-21T00:00:00,u1117@mail.com,user_117,1863.81,ST7
U1113,2024-05-28,North,Clothing,317.24,Bangalore,41,Premium,,2024-05-28,u1113@mail.com,user_113,,ST8
U1252,2024-06-22,South,Toys,601.33,Bangalore,36,Basic,Pending,2024-06-22T00:00:00,u1252@mail.com,user_252,865.63,ST6
U1362,2024-01-25,North,Electronics,3680.87,Bangalore,17,Premium,Pending,2024-01-25T00:00:00,u1362@mail.com,user_362,405.59,ST4
U1346,2024-03-04,West,Clothing,2358.09,Kolkata,31,Premium,,2024-03-04,u1346@mail.com,user_346,1906.03,ST1
U1015,2024-04-15,South,Electronics,3399.49,Ahmedabad,18,Premium,,2024-04-15T00:00:00,u1015@mail.com,user_15,1632.04,ST3
U1001,2024-06-12,West,Electronics,3733.6,Mumbai,19,Premium,Active,2024-06-12,,user_1,1825.96,ST9
U1479,2024-04-18,East,Toys,1215.02,Mumbai,25,Premium,,2024-04-18 00:00:00,u1479@mail.com,user_479,900.4,ST1
U1062,2024-01-14,East,Grocery,2791.18,Hyderabad,29,Basic,Active,2024-01-14 00:00:00,u1062@mail.com,user_62,517.22,ST9
U1271,2024-05-03,South,Electronics,4449.21,Delhi,17,Basic,Pending,2024-05-03 00:00:00,u1271@mail.com,user_271,1751.11,ST10
U1082,2024-06-13,West,Electronics,3955.29,Mumbai,19,Premium,Active,13/06/2024,u1082@mail.com,user_82,2334.39,ST10
U1195,2024-06-22,West,Clothing,4817.58,Kolkata,44,Premium,Pending,22/06/2024,u1195@mail.com,user_195,1000.19,ST4
U1411,2024-04-07,South,Furniture,2232.43,Mumbai,20,Basic,Inactive,07/04/2024,u1411@mail.com,user_411,1280.84,ST5
U1122,2024-05-20,North,Grocery,4271.67,Chennai,44,Premium,Pending,20/05/2024,u1122@mail.com,user_122,2381.6,ST1
U1379,2024-04-22,South,Grocery,4347.2,Pune,28,Basic,Active,2024-04-22,u1379@mail.com,user_379,1737.21,ST9
U1074,2024-06-04,South,Grocery,3901.13,Mumbai,40,Basic,Inactive,04/06/2024,u1074@mail.com,user_74,1994.59,ST3
U1589,2024-04-06,East,Grocery,1347.19,Mumbai,39,Premium,Pending,2024-04-06,u1589@mail.com,user_589,,ST9
U1158,2024-05-22,South,Electronics,4864.22,Hyderabad,36,Basic,Pending,2024-05-22,u1158@mail.com,user_158,1636.89,ST4
U1068,2024-01-20,South,Grocery,1758.95,Chennai,35,Premium,Pending,2024-01-20,u1068@mail.com,user_68,1489.45,ST9
U1170,2024-05-15,West,Clothing,1135.94,Pune,43,Basic,Pending,2024-05-15 00:00:00,u1170@mail.com,user_170,1651.94,ST1
U1067,2024-05-06,West,Clothing,2561.23,Bangalore,42,Premium,,2024-05-06 00:00:00,u1067@mail.com,user_67,1259.44,ST3
U1102,2024-01-14,North,Electronics,1715.48,Bangalore,27,Basic,Pending,14/01/2024,u1102@mail.com,user_102,1081.97,ST7
