Customer_ID,Customer_Name,Segment,City,State,Region,Postal_Code
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,84084
RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,97206
ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,55106
RM-19675,Robert Marley,Home Office,Monroe,Louisiana,South,71203
SK-19990,Sally Knutson,Consumer,Fairfield,Connecticut,East,6824
KL-16555,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,80906
JE-15475,Jeremy Ellison,Consumer,Troy,New York,East,12180
LS-17245,Lynn Smith,Consumer,Gladstone,Missouri,Central,64118
DJ-13420,Denny Joy,Corporate,Warner Robins,Georgia,South,31088
JO-15550,Jesus Ocampo,Home Office,Chester,Pennsylvania,East,19013
EG-13900,Emily Grady,Consumer,Oceanside,New York,East,11572
ES-14020,Erica Smith,Consumer,San Francisco,California,West,94110
CK-12760,Cyma Kinney,Corporate,Linden,New Jersey,East,7036
SM-20005,Sally Matthias,Consumer,New York City,New York,East,10009
MS-17365,Maribeth Schnelling,Consumer,Detroit,Michigan,Central,48227
TB-21190,Thomas Brumley,Home Office,Fayetteville,Arkansas,South,72701
BD-11770,Bryan Davis,Consumer,Houston,Texas,Central,77070
AB-10600,Ann Blume,Corporate,Tucson,Arizona,West,85705
HA-14905,Helen Abelman,Consumer,New York City,New York,East,10024
RW-19540,Rick Wilson,Corporate,Mesa,Arizona,West,85204
MM-17920,Michael Moore,Consumer,San Francisco,California,West,94110
KD-16495,Keith Dawkins,Corporate,New York City,New York,East,10009
CL-11890,Carl Ludwig,Consumer,Everett,Massachusetts,East,2149
EB-13930,Eric Barreto,Consumer,San Francisco,California,West,94110
JK-15205,Jamie Kunitz,Consumer,San Francisco,California,West,94122
ML-17755,Max Ludwig,Home Office,Suffolk,Virginia,South,23434
BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,South,28205
EH-13765,Edward Hooks,Corporate,Watertown,New York,East,13601
JE-15715,Joe Elijah,Consumer,Broomfield,Colorado,West,80020
MH-17620,Matt Hagelstein,Corporate,San Francisco,California,West,94110
JP-16135,Julie Prescott,Home Office,Columbus,Georgia,South,31907
HG-14845,Harry Greene,Consumer,Lake Charles,Louisiana,South,70601
TC-21475,Tony Chapman,Home Office,Columbus,Georgia,South,31907
GH-14410,Gary Hansen,Home Office,Glendale,Arizona,West,85301
NC-18535,Nick Crebassa,Corporate,Dallas,Texas,Central,75217
EJ-13720,Ed Jacobs,Consumer,San Diego,California,West,92037
VT-21700,Valerie Takahito,Home Office,Philadelphia,Pennsylvania,East,19143
AA-10645,Anna Andreadi,Consumer,Chester,Pennsylvania,East,19013
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,38109
LC-16885,Lena Creighton,Consumer,Roseville,California,West,95661
JE-16165,Justin Ellison,Corporate,Franklin,Wisconsin,Central,53132
EM-13960,Eric Murdock,Consumer,Philadelphia,Pennsylvania,East,19134
MJ-17740,Max Jones,Consumer,Seattle,Washington,West,98115
BM-11140,Becky Martin,Consumer,San Antonio,Texas,Central,78207
RC-19825,Roy Collins,Consumer,Chicago,Illinois,Central,60610
AH-10195,Alan Haines,Corporate,Tamarac,Florida,South,33319
AS-10225,Alan Schoenberger,Corporate,New York City,New York,East,10024
DJ-13510,Don Jones,Corporate,Murfreesboro,Tennessee,South,37130
RF-19840,Roy Franz�sisch,Consumer,New York City,New York,East,10024
CJ-12010,Caroline Jumper,Consumer,Huntington Beach,California,West,92646
SD-20485,Shirley Daniels,Home Office,New Rochelle,New York,East,10801
BB-11545,Brenda Bowman,Corporate,Houston,Texas,Central,77070
EB-13705,Ed Braxton,Corporate,Akron,Ohio,East,44312
JS-15940,Joni Sundaresam,Home Office,Park Ridge,Illinois,Central,60068
CM-12385,Christopher Martinez,Consumer,Atlanta,Georgia,South,30318
BD-11725,Bruce Degenhardt,Consumer,Richmond,Kentucky,South,40475
BN-11470,Brad Norvell,Corporate,Cary,North Carolina,South,27511
BM-11785,Bryan Mills,Consumer,Columbus,Ohio,East,43229
HW-14935,Helen Wasserman,Corporate,San Diego,California,West,92105
SJ-20125,Sanjit Jacobs,Home Office,New Brunswick,New Jersey,East,8901
CM-12445,Chuck Magee,Consumer,San Francisco,California,West,94122
JS-15595,Jill Stevenson,Corporate,Los Angeles,California,West,90045
JM-15535,Jessica Myrick,Consumer,Philadelphia,Pennsylvania,East,19143
TS-21160,Theresa Swint,Corporate,Toledo,Ohio,East,43615
EJ-14155,Eva Jacobs,Consumer,Gulfport,Mississippi,South,39503
JR-15700,Jocasta Rupert,Consumer,Jacksonville,Florida,South,32216
GM-14500,Gene McClure,Consumer,Providence,Rhode Island,East,2908
MC-17575,Matt Collins,Consumer,Cincinnati,Ohio,East,45231
SZ-20035,Sam Zeldin,Home Office,Pico Rivera,California,West,90660
MS-17770,Maxwell Schwartz,Consumer,New York City,New York,East,10035
JD-15790,John Dryer,Consumer,Coppell,Texas,Central,75019
CD-12280,Christina DeMoss,Consumer,Seattle,Washington,West,98105
RM-19375,Raymond Messe,Consumer,Houston,Texas,Central,77095
CC-12685,Craig Carroll,Consumer,Greensboro,North Carolina,South,27405
RP-19855,Roy Phan,Corporate,Kenosha,Wisconsin,Central,53142
JC-15775,John Castell,Consumer,San Antonio,Texas,Central,78207
RH-19510,Rick Huthwaite,Home Office,Providence,Rhode Island,East,2908
TB-21625,Trudy Brown,Consumer,Grand Prairie,Texas,Central,75051
KW-16570,Kelly Williams,Consumer,Clarksville,Tennessee,South,37042
CR-12580,Clay Rozendal,Home Office,Elmhurst,Illinois,Central,60126
SC-20575,Sonia Cooley,Consumer,Mishawaka,Indiana,Central,46544
DB-12910,Daniel Byrd,Home Office,Tampa,Florida,South,33614
CL-12700,Craig Leslie,Home Office,Springfield,Missouri,Central,65807
DF-13135,David Flashing,Consumer,Vallejo,California,West,94591
GB-14575,Giulietta Baptist,Consumer,Philadelphia,Pennsylvania,East,19134
RE-19450,Richard Eichhorn,Consumer,Dallas,Texas,Central,75081
KB-16405,Katrina Bavinger,Home Office,Apple Valley,California,West,92307
CC-12475,Cindy Chapman,Consumer,New York City,New York,East,10024
BG-11740,Bruce Geld,Consumer,Philadelphia,Pennsylvania,East,19120
VS-21820,Vivek Sundaresam,Consumer,Los Angeles,California,West,90036
RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,90049
ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,55122
PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,Central,60462
TW-21025,Tamara Willingham,Home Office,Scottsdale,Arizona,West,85254
NK-18490,Neil Knudson,Home Office,Seattle,Washington,West,98105
CS-12130,Chad Sievert,Consumer,Los Angeles,California,West,90004
SJ-20500,Shirley Jackson,Consumer,Houston,Texas,Central,77036
LC-17140,Logan Currie,Consumer,Dallas,Texas,Central,75220
CA-12310,Christine Abelman,Corporate,Cincinnati,Ohio,East,45231
AG-10495,Andrew Gjertsen,Corporate,Philadelphia,Pennsylvania,East,19140
JD-16060,Julia Dunbar,Consumer,San Francisco,California,West,94109
MM-18280,Muhammed MacIntyre,Corporate,Quincy,Illinois,Central,62301
DO-13435,Denny Ordway,Consumer,Pembroke Pines,Florida,South,33024
VP-21730,Victor Preis,Home Office,Las Vegas,Nevada,West,89115
PB-19150,Philip Brown,Consumer,Los Angeles,California,West,90004
KH-16630,Ken Heidel,Corporate,San Antonio,Texas,Central,78207
AJ-10960,Astrea Jones,Consumer,Rochester,New York,East,14609
AS-10135,Adrian Shami,Home Office,New York City,New York,East,10035
LR-16915,Lena Radford,Consumer,San Diego,California,West,92024
CK-12205,Chloris Kastensmidt,Consumer,Philadelphia,Pennsylvania,East,19120
TH-21235,Tiffany House,Corporate,Dallas,Texas,Central,75081
RB-19570,Rob Beeghly,Consumer,Columbus,Indiana,Central,47201
CD-11980,Carol Darley,Consumer,Tyler,Texas,Central,75701
TH-21550,Tracy Hopkins,Home Office,New York City,New York,East,10035
GA-14725,Guy Armstrong,Consumer,Lorain,Ohio,East,44052
LS-16945,Linda Southworth,Corporate,Philadelphia,Pennsylvania,East,19140
PK-18910,Paul Knutson,Home Office,Philadelphia,Pennsylvania,East,19143
KC-16255,Karen Carlisle,Corporate,San Francisco,California,West,94110
SW-20275,Scott Williamson,Consumer,Jackson,Mississippi,South,39212
